clubs,championships,value,wins,attendance
JuventusFC,35,614.7,20,3.5839
FCInternazionaleMilano,18,553.35,19,4.6722
SSCNapoli,2,526.6,11,2.9201
ASRoma,3,354.15,13,3.3143
ACMilan,18,327.6,10,4.0087
SSLazio,2,298.73,19,3.3873
AtalantaBergamascaCalcio,0,265.7,14,2.2111
ACFFiorentina,2,251.8,7,2.7971
CagliariCalcio,1,150.93,8,2.0638
TorinoFC,7,144.65,8,2.1563
SassuoloCalcio,0,140.33,9,1.7605
ParmaCalcio1913,0,125.18,10,2.0456
BolognaFC,7,119.55,9,2.2939
UCSampdoria,1,112.35,7,2.2153
HellasVeronaFC,1,106.48,9,2.3727
GenoaCFC,9,104.05,6,2.3148
UdineseCalcio,0,99.43,7,2.4012
BresciaCalcio,0,78.13,4,1.9895
SPAL2013Ferrara,0,59.33,5,2.1014
USLecce,0,43.6,6,2.6075
